,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
271,324,Kidou Keisatsu Patlabor: On Television,7.67,"['Comedy', 'Sci-Fi']","In the future, advanced robotics has created heavy robots (""labors"") for use in a variety of functions: construction, fire-fighting, military, and more. However, though the robots are only machines, their operators are also only human—and humans sometimes turn to crime. Since a heavy labor unit can be a dangerous weapon, the police of the future are set to fight fire with fire, using advanced patrol labor units, ""patlabors."" This is the story of the Second Special Vehicles Division, a motley crew of patlabor policemen and women doing their best to fight crime and live a normal life.

(Source: ANN)",TV,47.0,"Oct 11, 1989 to Sep 26, 1990",Finished Airing,Tohokushinsha Film Corporation,"Central Park Media, Maiden Japan",Sunrise,Original,24,PG-13 - Teens 13 or older,1212.0,3461,414,9650.0,36549,1989-10-11,1990-09-26
272,325,Peach Girl,6.94,"['Drama', 'Romance']","With her gorgeous, tan skin and long, bleached hair, former high school swim team member Momo Adachi seems like the kind of girl who could get any guy she wants. In reality, however, she is only in love with Kazuya ""Toji"" Toujigamori, a baseball player whom she fell for in junior high and who reportedly only likes pale-skinned girls. Despite her attempts to change her appearance, many of her jealous classmates have begun spreading rumors about her promiscuous and ""easy to get with"" personality. Momo's friend Sae Kashiwagi is always there to comfort her, but is secretly the source of the rumors about Momo as part of her own scheme to steal Toji. Further complicating things is Kairi Okayasu, a popular male student at Momo's high school who has publicly declared his love for her and is determined to date her.

Hoping to find love in a nearly impossible predicament, Momo must navigate complicated love triangles, back-stabbing friends, and her insecurities about her appearance to discover who she really is.",TV,25.0,"Jan 8, 2005 to Jun 25, 2005",Finished Airing,"TV Tokyo, Marvelous, Studio Jack",Funimation,Studio Comet,Manga,24,PG-13 - Teens 13 or older,4215.0,1931,805,50446.0,100034,2005-01-08,2005-06-25
273,326,Petshop of Horrors,7.24,"['Horror', 'Mystery', 'Supernatural']","Count D, a quite interesting pet shop owner from an area called Chinatown, sells rare and hard to come by pets to people longing for something special, but with each sale comes a contract. If the rules of the contract are followed, everything goes fine, but if someone should break the rules of the contract, the pet shop cannot be held responsible for anything unfortunate that might happen. Leon Orcot, a homicide detective, has linked many odd and unexplainable deaths together; they all were customers of Count D's pet shop, and he intends to find out why. 

(Source: ANN)",TV,4.0,"Mar 2, 1999 to Mar 23, 1999",Finished Airing,"Trans Arts, TBS","Sentai Filmworks, Urban Vision",Madhouse,Manga,23,R - 17+ (violence & profanity),2816.0,2523,415,30483.0,65244,1999-03-02,1999-03-23
275,328,Piano (TV),5.98,"['Drama', 'Romance', 'Slice of Life']","When Miu was young, she was fascinated by the piano and took up lessons.

When the show opens, Miu is in middle school. She is shy, a soft-spoken girl who doesn't have a lot of confidence in herself. Her friends would describe her as ""sweet"" and ""quiet."" At this point, Miu has been taking piano lessons for some time and while people have told her that she's gotten very good over the years, Miu herself feels she's not really good at anything—including the piano. Her teacher, Mr. Shirakawa, is often frustrated with her playing. Although she plays every note exactly correct, her heart just isn't in it...

Meanwhile, Miu's come of the age when she's noticing boys and this shy young lady has noticed the handsome Kazuya Takahashi—even if he hasn't noticed her.

This is Miu's story. The story of a young girl who is on a journey to discover the melody within her own heart and the courage to express it.

(Source: RightStuf)",TV,10.0,"Nov 11, 2002 to Jan 13, 2003",Finished Airing,"animate Film, Kids Station, Pioneer LDC",Nozomi Entertainment,OLM,Original,24,G - All Ages,8927.0,6375,13,3130.0,8755,2002-11-11,2003-01-13
276,329,Planetes,8.26,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']","In 2075, space travel is no longer just a dream, but an everyday reality for mankind. Advancements in science and technology have led to the colonization of the moon, the commercialization of outer space, and the formation of large space corporations. Ai Tanabe, an upbeat woman whose interests lie in the cosmos, joins Technora Corporation as a member of their Debris Section, a department dedicated to the removal of dangerous space junk between the orbits of the Earth and Moon.

However, Ai soon discovers how unappreciated her job is. As the laughingstock of Technora, the Debris Section is severely understaffed, poorly funded, and is forced to use a dilapidated spaceship nicknamed the ""Toy Box"" for debris retrieval. Undeterred, Ai perseveres and gradually becomes acquainted with the strange personalities that make up the Debris Section's staff, such as the bumbling but good-natured chief clerk Philippe Myers; the mysterious and tight-lipped temp worker Edelgard Rivera; and the hotheaded and passionate Hachirouta Hoshino, who longs for a spaceship to call his own.

Planetes is an unconventional sci-fi series that portrays the vastness of space as a backdrop for the personal lives of ordinary people—people who may have been born on Earth, but whose hopes and dreams lie amongst the stars.",TV,26.0,"Oct 4, 2003 to Apr 17, 2004",Finished Airing,"Bandai Visual, NHK",Bandai Entertainment,Sunrise,Manga,25,PG-13 - Teens 13 or older,279.0,919,3836,74403.0,243507,2003-10-04,2004-04-17
277,330,Midori no Hibi,7.23,"['Comedy', 'Drama', 'Romance', 'Ecchi']","There isn't a single person in Sakuradamon High who hasn't heard the legends about Seiji ""The Mad Dog"" Sawamura's demonically powerful right hand. His reputation makes it fairly difficult for him to approach girls, and after being rejected 20 times straight, he half-jokingly vows to finish high school with his right hand for a girlfriend.

Much to his surprise, after waking up the next morning, Seiji discovers that his demon right hand has mysteriously turned into a miniature girl, Midori Kasugano, who reveals that she has had a crush on Seiji for the past three years. Because their situation is not ideal for either of them, Seiji attempts to return Midori to normal. But after causing a big misunderstanding at the Kasugano household, the pair decide to keep their predicament between them until a solution is found. Thus begins an odd relationship, and what could be the only chance for Midori to finally be with the one she loves.",TV,13.0,"Apr 4, 2004 to Jun 27, 2004",Finished Airing,"Bandai Visual, Lantis","Media Blasters, NYAV Post",Pierrot,Manga,24,R+ - Mild Nudity,2896.0,1341,633,87204.0,163144,2004-04-04,2004-06-27
281,334,Marmalade Boy,7.44,"['Comedy', 'Drama', 'Romance']","Miki Koishikawa is a high school student who enjoys a very simple life. However, her ordinary life is about to be turned upside down, and she may not be able to handle everything that is coming her way.

After a very ""fun"" holiday in Hawaii, her parents have decided to get a divorce. As if this wasn’t enough of a shock for the poor girl, she also discovers that they will soon be re-marrying and swapping partners with another couple who they met on holiday. In order to include Miki in this shocking turn of events, they ask her to give the new couple a chance, and set up a dinner date with everyone. Miki may have tried to be emotionally prepared for her new parents, but what she was not expecting was their handsome son Matsuura Yuu.

Miki develops an instant crush for Yuu. What starts off as a lovely friendship between them soon develops into romantic feelings which they are both finding hard to control. But more trouble is ahead in their relationship, as both Miki and Yuu have admirers of their own who are trying very hard to keep them separated.",TV,76.0,"Mar 13, 1994 to Sep 3, 1995",Finished Airing,Asahi Broadcasting,"Discotek Media, Tokyopop",Toei Animation,Manga,24,PG-13 - Teens 13 or older,1918.0,2796,586,21244.0,53758,1994-03-13,1995-09-03
282,335,Matantei Loki Ragnarok,7.25,"['Comedy', 'Mystery', 'Supernatural']","Loki, the Norse god of mischief, has been exiled to the human world for what was apparently a bad joke. Along with being exiled, he's forced to take the form of a child. He's told the only way he can get back to the world of the gods is if he can collect auras of evil that take over human hearts, and so to do this he runs a detective agency. Loki is soon joined by a human girl named Mayura who is a maniac for mysteries, and she soon helps out in her own way. However, soon other Norse gods begin to appear, and most have the intent to assassinate Loki for reasons unclear. 

(Source: ANN)",TV,26.0,"Apr 5, 2003 to Sep 27, 2003",Finished Airing,"TV Tokyo, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,24,PG-13 - Teens 13 or older,2789.0,3384,178,16216.0,37978,2003-04-05,2003-09-27
284,337,Psychic Academy,6.19,"['Comedy', 'Romance', 'Supernatural']","Insecure Ai Shiomi begins attending the prestigous Psychic Academy for psychically gifted students, following in the footsteps of his legendary older brother.

(Source: ANN)",TV,24.0,"Mar 29, 2002 to Sep 13, 2002",Finished Airing,"Starchild Records, GANSIS",Tokyopop,E&G Films,Manga,11,PG-13 - Teens 13 or older,7919.0,5745,10,4645.0,11321,2002-03-29,2002-09-13
285,338,Versailles no Bara,8.33,"['Drama', 'Romance']","In a time of class stratification and rising tensions amongst the impoverished population, the Austrian Empire sends Princess Marie Antoinette to France to be wed to Crown Prince Louis XVI. The political marriage is arranged to strengthen the alliance between both countries, but the future queen is deeply unsatisfied with her fate being decided for her. Upon arrival in the country, Marie Antoinette is acquainted with Oscar Fançois de Jarjayes—Commander of the Royal Guard.

Due to her father's desire for a son, Oscar is raised as a boy with an expectation to inherit his title as The Commander. Though she is revered by both men and women alike, Oscar cannot help but desire to live life as a woman instead of masquerading as a man. As Oscar reluctantly serves the young, spoiled queen, the growing resentment and suffering of the poor become harder for her to ignore—especially when Marie Antoinette frivolously spends her wealth.",TV,40.0,"Oct 10, 1979 to Sep 3, 1980",Finished Airing,Nippon Television Network,"Nozomi Entertainment, Discotek Media",Tokyo Movie Shinsha,Manga,24,PG-13 - Teens 13 or older,220.0,2036,2840,28245.0,92385,1979-10-10,1980-09-03
286,339,Serial Experiments Lain,8.08,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural']","Lain Iwakura, an awkward and introverted fourteen-year-old, is one of the many girls from her school to receive a disturbing email from her classmate Chisa Yomoda—the very same Chisa who recently committed suicide. Lain has neither the desire nor the experience to handle even basic technology; yet, when the technophobe opens the email, it leads her straight into the Wired, a virtual world of communication networks similar to what we know as the internet. Lain's life is turned upside down as she begins to encounter cryptic mysteries one after another. Strange men called the Men in Black begin to appear wherever she goes, asking her questions and somehow knowing more about her than even she herself knows. With the boundaries between reality and cyberspace rapidly blurring, Lain is plunged into more surreal and bizarre events where identity, consciousness, and perception are concepts that take on new meanings.

Written by Chiaki J. Konaka, whose other works include Texhnolyze, Serial Experiments Lain is a psychological avant-garde mystery series that follows Lain as she makes crucial choices that will affect both the real world and the Wired. In closing one world and opening another, only Lain will realize the significance of their presence.",TV,13.0,"Jul 6, 1998 to Sep 28, 1998",Finished Airing,"TV Tokyo, Geneon Universal Entertainment, Genco, Pioneer LDC, TV Tokyo Music, Fujipacific Music","Funimation, Geneon Entertainment USA",Triangle Staff,Original,23,R - 17+ (violence & profanity),484.0,249,25736,279442.0,719885,1998-07-06,1998-09-28
287,340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.55,['Action'],"Legends tell of an invincible martial art known as Mutsu Enmei-Ryu, an unarmed style that allows the user to defeat any number of armed opponents using incredible speed and strength. This is the story of three generations of those who bear the name Mutsu, and their encounters and battles with the strongest fighters of their era. 

(Source: ANN)",TV,26.0,"Apr 6, 2004 to Sep 28, 2004",Finished Airing,"TV Tokyo, Sotsu, Marvelous, Media Factory",Media Blasters,Studio Comet,Manga,23,PG-13 - Teens 13 or older,1560.0,4234,132,9762.0,23885,2004-04-06,2004-09-28
288,341,Spiral: Suiri no Kizuna,7.22,"['Drama', 'Mystery']","Ayumu Narumi has lived all his life in the shadow of his famous detective brother, Kiyotaka. However, Kiyotaka disappeared two years ago, leaving behind his wife Madoka and Ayumu himself, along with a cryptic message about the ""Blade Children.""

One day, a girl at Ayumu's school suddenly dies. What seemed like a suicide at first glance turns out to be a murder, and Ayumu is the prime suspect. While investigating the person responsible for framing him, he discovers that the mysterious Blade Children are involved—and they somehow know Kiyotaka personally. Ayumu soon finds out just how dangerous the Blade Children are and learns that, in reality, he and Kiyotaka are intertwined more closely than he had ever believed.",TV,25.0,"Oct 1, 2002 to Mar 25, 2003",Finished Airing,"TV Tokyo, Aniplex, Sotsu, SME Visual Works",Funimation,J.C.Staff,Manga,23,PG-13 - Teens 13 or older,2958.0,2862,289,22637.0,51663,2002-10-01,2003-03-25
289,342,Starship Operators,7.01,"['Drama', 'Sci-Fi']","For the 73rd class of cadets of the Defense University of the small planet Kibi, a shakedown cruise on the fleet's new starship ""Amaterasu"" is a fitting lead-up to graduation. As they are returning to their home planet, however, they are shocked to hear news of a declaration of war by the aggressive Kingdom against Kibi. When their planetary government surrenders without a struggle, the cadets decide to launch their own war, aboard the ""Amaterasu"". To gain funding, they make a deal with a galactic news network - and find themselves the ""stars"" of their own ""reality show"". Unfortunately, this is the kind of reality show that can get you killed... 

(Source: ANN)",TV,13.0,"Jan 5, 2005 to Mar 30, 2005",Finished Airing,Geneon Universal Entertainment,Geneon Entertainment USA,J.C.Staff,Light novel,24,PG-13 - Teens 13 or older,3966.0,5066,50,5306.0,15422,2005-01-05,2005-03-30
292,345,Eikoku Koi Monogatari Emma,7.62,"['Drama', 'Romance']","Emma has been a maid for most of her life. Working for a retired governess—the strict but compassionate Kelly Stownar—Emma has grown to love her work and has long since accepted her place in society. Beautiful, hardworking, and exceptionally kind, Emma has captured the hearts of many of London's working men—but their feelings always remain unrequited. Emma is waiting for love, and she finds it in the most unlikely of places.

William is the eldest son of the wealthy Jones household—a family that has only recently been accepted into the gentry, securing their position in high society. He is also the former ward of Mrs. Stownar, and on his first visit in years, he falls madly in love with her maid. His earnest attempts to win her affection, coupled with his good nature and warm personality, have captured Emma's heart.

But the polite society of 19th century England does not take kindly to the rejection of tradition. As a result, Emma and William's relationship could not face more opposition. In a world where the class lines are as strongly defended as the borders of nations, does their love have the strength to survive?",TV,12.0,"Apr 3, 2005 to Jun 19, 2005",Finished Airing,"Pony Canyon, TBS, Toshiba Entertainment, Fuji Creative",Nozomi Entertainment,Pierrot,Manga,25,G - All Ages,1324.0,2748,319,18002.0,55765,2005-04-03,2005-06-19
294,347,Wild Arms: Twilight Venom,6.67,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","This anime is based on a playstation game under the same title. The story is about four people who travel the desolated land of Filgaea and carve themselves a legendary story while they're at it. These adventurers are Sheyenne Rainstorm, a gunslinger who holds the legendary weapon called ARMs; Kiel Aromax, a scientist who looks like he should be carrying a sword; Roleta Oratorio the Crest Sorceress, a magic-user who uses cards called Crests to cast spells; and Mirabelle Graceland, one of the Noble Red, which are a family of vampiric creatures who live alongside human beings They also travel with cute little intelligent furry things, from the Popepi Pipepo Tribe, named Isaac and Jerusha.

(Source: AniDB)",TV,22.0,"Oct 18, 1999 to Mar 27, 2000",Finished Airing,"Aniplex, WOWOW",ADV Films,Bee Train,Game,24,PG-13 - Teens 13 or older,5476.0,6641,16,3045.0,7999,1999-10-18,2000-03-27
295,348,Binzume Yousei,6.43,"['Comedy', 'Fantasy']","Set in the year 2004, Binzume Yousei is a slice-of-life fairy tale that revolves around four fairies, each represented by four unique colors as seen with their magical bottle jars. These fairies are the extremely peppy Kururu, the reserved and feminine Chiriri, the samurai-loving tomboy Sarara, and the quiet yet quirky Hororo.

Fascinated by the human world, these fairies arrived from the fairy world in hopes of participating in the annual traditions and overall way of human life. However, they have a very limited understanding of the human world. Luckily, they are befriended and guided by two humans—""Sensei-san,"" a university student who they live with, and a first-grade girl they call ""Tama-chan,"" who is sometimes as naive as the fairies themselves.

Though these bottle fairies have strange ideas and sometimes have difficulty understanding this new world, they try to make the most of the human experience in their own cute little ways.",TV,13.0,"Oct 4, 2003 to Dec 27, 2003",Finished Airing,"Hal Film Maker, Genco, Starchild Records",Geneon Entertainment USA,Xebec,Original,13,G - All Ages,6733.0,4709,50,8026.0,18743,2003-10-04,2003-12-27
297,350,Ojamajo Doremi,7.29,"['Comedy', 'Fantasy']","Harukaze Doremi considers herself to be the unluckiest girl in the world. Her parents are always fighting, her little sister makes fun of her, and her crush pines after another girl. If only Doremi could just wave a magic wand, she would have a much better life—or so she used to think.

After a mishap with a real witch, Doremi becomes an apprentice witch herself, and it turns out she's pretty horrible at that, too.

Now she and her two friends must study to become better at magic so they can become good witches. That is, if they can focus on their magic studies!

The three apprentices will need all the luck they can get if they want to pass the witch exams and become full-fledged witches. Only then will Doremi's debt to the witch Majorika be repaid. Until then, Doremi will remain a useless little witch girl!",TV,51.0,"Feb 7, 1999 to Jan 30, 2000",Finished Airing,Asahi Broadcasting,4Kids Entertainment,Toei Animation,Original,24,G - All Ages,2577.0,2839,639,22963.0,52448,1999-02-07,2000-01-30
301,354,UG☆Ultimate Girls,5.65,"['Comedy', 'Sci-Fi', 'Ecchi']","During a monster attack on the city, which is something that happens quite often, Silk and her two friends try get close to the attacking monster for a better view. An unfortunate choice of location to watch from leads to UFO-man, the city's giant protector, to land on the girls crushing them to death. Feeling sorry, UFO-man blames their death on the monster and promises to bring Silk and her friends back to life by lending them his power but the catch is that they now have to become the city's protector as well.

(Source: ANN)",TV,12.0,"Jan 10, 2005 to Mar 28, 2005",Finished Airing,m.o.e.,Media Blasters,Studio Matrix,Original,14,PG-13 - Teens 13 or older,10272.0,6189,3,3491.0,9451,2005-01-10,2005-03-28
302,355,Shakugan no Shana,7.45,"['Action', 'Drama', 'Fantasy', 'Romance']","The world has become a slaughtering ground for the Crimson Denizens, mysterious beings from a parallel universe who thrive on the life energy of humans. These merciless murderers only leave behind scant remainders of souls called ""Torches,"" which are mere residues that will eventually be destroyed, along with the very fact of the victims' existence from the minds of the living. In an ambitious endeavor to put an end to this invisible, hungry massacre, warriors called Flame Hazes relentlessly fight these monsters.

One fateful day, Yuuji Sakai ceases to be a regular high schooler—he becomes trapped in a crevice of time and is suddenly attacked by a Denizen. Coming to his rescue just in the nick of time is a nameless hunter who seems no different from an ordinary young girl except for her blazing eyes and burning crimson hair. However, before Yuuji can learn anything more about his situation, he discovers that he has already been reduced to a Torch—merely a scrap of memory waiting to be extinguished.",TV,24.0,"Oct 6, 2005 to Mar 23, 2006",Finished Airing,"Geneon Universal Entertainment, ASCII Media Works, Toshiba Entertainment, Cosmic Ray, Showgate","Funimation, Geneon Entertainment USA",J.C.Staff,Light novel,24,PG-13 - Teens 13 or older,1869.0,388,4981,253973.0,525080,2005-10-06,2006-03-23
303,356,Fate/stay night,7.28,"['Action', 'Fantasy', 'Romance', 'Supernatural']","After a mysterious inferno kills his family, Shirou is saved and adopted by Kiritsugu Emiya, who teaches him the ways of magic and justice.

One night, years after Kiritsugu's death, Shirou is cleaning at school, when he finds himself caught in the middle of a deadly encounter between two superhumans known as Servants. During his attempt to escape, the boy is caught by one of the Servants and receives a life-threatening injury. Miraculously, he survives, but the same Servant returns to finish what he started. In desperation, Shirou summons a Servant of his own, a knight named Saber. The two must now participate in the Fifth Holy Grail War, a battle royale of seven Servants and the mages who summoned them, with the grand prize being none other than the omnipotent Holy Grail itself.

Fate/stay night follows Shirou as he struggles to find the fine line between a hero and a killer, his ideals clashing with the harsh reality around him. Will the boy become a hero like his foster father, or die trying?",TV,24.0,"Jan 7, 2006 to Jun 17, 2006",Finished Airing,"Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24,R - 17+ (violence & profanity),2612.0,162,7160,501403.0,914432,2006-01-07,2006-06-17
304,357,Bokusatsu Tenshi Dokuro-chan,6.54,"['Comedy', 'Ecchi']","Sakura Kusakabe, a mere junior high student, has committed a horrible crime. Or, rather, he will commit a crime—20 years into the future. The crime in question? He will prevent all women from developing past the age of 12, with immortality as an unintended side effect. As a result, the angel Dokuro Mitsukai is sent from the future as an assassin, armed with with a magical spiked bat named Excalibolg. However, rather than kill him, Dokuro wants to take a different approach. She resolves to be a constant nuisance to Sakura, in an attempt to prevent him from focusing on anything long enough to create his criminal technology. 

With Dokuro going against orders, the angel Sabato is sent out to complete Dokuro's mission. Between the impulsive Dokuro—who often murders Sakura with her bat before reviving him with the magic words ""Pipiru piru piru pipiru pi""—and the electric baton-wielding Sabato, Sakura's life will never be peaceful again.",OVA,4.0,"Mar 13, 2005 to Sep 22, 2005",Finished Airing,"Geneon Universal Entertainment, Showgate","Media Blasters, Discotek Media","Hal Film Maker, Nomad",Light novel,26,R - 17+ (violence & profanity),6107.0,1141,772,107344.0,193846,2005-03-13,2005-09-22
306,359,I'll/CKBC,6.19,"['Action', 'Sports']","Pressured by his family's background and expectations, high school student Hitonari Hiiragi has been considering quitting basketball. However, after meeting Akane Tachibana, Hiiragi's love for the sport is reignited. As he joins the Kouzu High School basketball club, Hiiragi aims to pursue his own path in basketball together with his cherished teammates.

But despite having fun with his newfound comrades, Hiiragi eventually starts to question whether he can achieve his dreams with the current team and environment. As they each struggle with their differing approaches towards the sport, Hiiragi and the team ponder what it truly means to play basketball together.",OVA,2.0,"Dec 18, 2002 to Mar 26, 2003",Finished Airing,"Aniplex, SME Visual Works",Media Blasters,M.S.C,Manga,30,PG-13 - Teens 13 or older,7957.0,7750,6,2079.0,5420,2002-12-18,2003-03-26
307,360,Himiko-den,6.17,"['Adventure', 'Drama', 'Fantasy', 'Supernatural']","In a world where the dead walk, where good and evil exist as palpable forces, a darkness is stirring. The undead march against the cities of light, to capture the sacred fire that is the source of their power. But one hope remains. Called into this world by the magical flame, a young girl named Himiko is thrust into the maelstrom of danger, betrayal, and war. For she is heir to the sacred fire, and holds a power that could save its Guardians... if she survives!

(Source: Central Park Media)",TV,12.0,"Jan 7, 1999 to Apr 1, 1999",Finished Airing,"Rakuonsha, Studio Jack, Amuse, Hakuhodo, Mitsubishi, Panasonic Digital Contents",Central Park Media,Group TAC,Game,23,PG-13 - Teens 13 or older,8029.0,7431,3,1922.0,5994,1999-01-07,1999-04-01
312,366,AIKa,5.93,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']","A catastrophic earthquake has left Tokyo, and most of the Earth for that matter, under the sea. Aika is a salvager who retrieves various remains from the watery ruins. When Aika accepts the dangerous mission of locating and obtaining the mysterious Lagu, she discovers that she's not the only one after it.",OVA,7.0,"Apr 25, 1997 to Apr 25, 1999",Finished Airing,Bandai Visual,"Bandai Entertainment, Central Park Media",Studio Fantasia,Original,27,R+ - Mild Nudity,9136.0,3581,51,14228.0,33700,1997-04-25,1999-04-25
315,369,Boogiepop wa Warawanai,7.16,"['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural']","Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there. Are you safe?

(Source: RightStuf)",TV,12.0,"Jan 5, 2000 to Mar 22, 2000",Finished Airing,"VAP, Triangle Staff, d-rights",Nozomi Entertainment,Madhouse,Light novel,24,R+ - Mild Nudity,3225.0,1608,1030,32835.0,128799,2000-01-05,2000-03-22
316,370,Burn Up Excess,6.57,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi', 'Ecchi']","Follows the exploits of Team Warrior, a special anti-terror wing of the Neo-Tokyo Police force. Team Warrior is comprised of the habitually broke Rio, gun-crazy Maya, computer specialist Lillica, tech-expert Nanvel, piliot/voyeur Yuji, and is led by the enigmatic Maki. The team faces a number of missions, ranging from bodyguard duty, breaking up robbery and arms rackets, and providing security for a very powerful tank. Rio and company continually thwart the terrorist aims of Ruby, an operative for a shadowy cabal of powerful men. Before the final showdown, the circumstances behind the formation of Team Warrior, how the precocious Rio came to join it, and Maki's painful past will be revealed.

(Source: ANN)",TV,13.0,"Dec 12, 1997 to Jul 1, 1998",Finished Airing,AIC,ADV Films,Magic Bus,Original,25,PG-13 - Teens 13 or older,5962.0,5784,19,4465.0,11116,1997-12-12,1998-07-01
317,373,Bannou Bunka Neko-Musume,6.74,"['Adventure', 'Comedy', 'Sci-Fi']","Ryuunosuke Natsume is the son of genius inventor Kyusaku Natsume and overbearing Akiko Natsume, CEO of Mishima Heavy Industries. Using funds from his wife's company and the brain from his son's beloved cat, Kyusaku creates a revolutionary android called Atsuko ""Nuku Nuku"" Natsume. To Kyusaku's disgust, Akiko wants to use her husband's technology to create weaponized robots for her company's customers, resulting in Ryuunosuke getting caught within the explosive fights between his parents

The android Nuku Nuku tries to live as a normal high school student, adopting the role of Ryuunosuke's elder sister, but usually ends up acting as her family's protector. Nuku Nuku will do anything to protect the ones she loves.",OVA,6.0,"Oct 21, 1992 to May 25, 1994",Finished Airing,"Starchild Records, Movic","ADV Films, Discotek Media","Studio Fantasia, animate Film",Manga,28,R+ - Mild Nudity,5119.0,5621,33,4630.0,11937,1992-10-21,1994-05-25
318,374,Bannou Bunka Neko-Musume DASH!,6.28,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","It's in the not too distant future. One day Nuku-Nuku dropped in and began to live with the Natsume family. Having lost her memory, Nuku-Nuku assumed the identity of a beautiful girl named Atsuko Higuchi. She was so beautiful and gentle, and besides, she was such a great cook that Ryunosuke, 14, was all smiles. However, after her arrival in town, a series of mysterious incidents started to happen in Maneki City - Experimental machines running haywire, roaring fighter aircraft flying low, mass destruction in the city. In every case, a mysterious girl was spotted at the scene of the incident.

(Source: AnimeNfo)",OVA,12.0,"Sep 23, 1998 to Dec 23, 1998",Finished Airing,Movic,"ADV Films, Discotek Media",Ashi Productions,Unknown,24,R - 17+ (violence & profanity),7504.0,7575,7,2130.0,5694,1998-09-23,1998-12-23
319,375,Bannou Bunka Neko-Musume (1998),6.62,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","Each episode centers on Nuku Nuku's adventures and mishaps in high school, and her relationship to students, the overall series plot centers on the evil Mishima Industries' scheme to dominate the world through its products. In opposition to this plan are the slightly nutty Kyuusaku Natsume and Nuku Nuku, the android who acts as a companion to his young son. Nuku Nuku's classmates are all eccentrics, Futaba, the class president, is a domineering control-freak, who cannot leave her authority in school. Chieko Shirakaba is the rich snob with the two yes-girls who always take her side. There is a bookworm, a mystic, a scientist, and a pop singer. All of these are true to their descriptions: the mystic is always foretelling doom via tarot cards, spirits, or some other occult technique. The pop singer never says anything except as a song. The bookworm always has her nose in a book. These eccentricities add to the series' humor. 

(Source: ANN)",TV,12.0,"Jan 7, 1998 to Mar 25, 1998",Finished Airing,"TV Tokyo, Yomiko Advertising","ADV Films, Discotek Media",Ashi Productions,Manga,23,PG-13 - Teens 13 or older,5720.0,6661,12,2893.0,7938,1998-01-07,1998-03-25
320,377,eX-Driver,6.66,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","Ex-Driver is set in the future, when all transportation is easily controlled by AI. Though like all machines they tend to break down or lose control or re-programmed. This is where three high schoolers with non AI cars, Subaru WRX, Super 7, Lotus comes in to save the day and make sure the public is safe at all times. 

(Source: ANN)",OVA,6.0,"Jul 25, 2000 to Sep 25, 2001",Finished Airing,"Bandai Visual, Dentsu, Genco",Media Blasters,Actas,Original,25,PG-13 - Teens 13 or older,5517.0,5819,32,4516.0,10945,2000-07-25,2001-09-25
321,379,Heppoko Jikken Animation Excel♥Saga,7.49,"['Comedy', 'Sci-Fi']","It's hard to take over the world, and the enigmatic Il Palazzo, head of the ACROSS organization, knows this, so he aims to start small by conquering the city of Fukuoka. Two young officers, the Excel and her partner Hyatt, are tasked with executing this plan, but standing in their way are the City Security workers, a group consisting of three (mostly) normal guys, a very severe girl, and some robots. Regardless of simplicity, Excel and Hyatt always manage to screw up their missions, which usually result in death and lots of destruction.

Heppoko Jikken Animation Excel♥Saga chronicles the elaborate troubles that the ACROSS officers get themselves into, as Excel and Hyatt never fail to do their jobs improperly.",TV,26.0,"Oct 8, 1999 to Mar 31, 2000",Finished Airing,Victor Entertainment,"ADV Films, Funimation",J.C.Staff,Manga,24,R - 17+ (violence & profanity),1745.0,1859,949,48003.0,106435,1999-10-08,2000-03-31
